date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:33	93093/93093	---M--	200	added ('OK')	image/png	etag:%2216ba5-60db4fd11ef5a%22	https://themesbrand.com/velzon/html/master/assets/images/user-illustarator-1.png	C:/xampp/htdocs/Shopy/admin_template/themesbrand.com/velzon/html/master/assets/images/user-illustarator-1.png	(from https://themesbrand.com/velzon/html/master/widgets.html)
11:28:33	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jul%202024%2004:28:35%20GMT	https://themesbrand.com/velzon/html/master/assets/libs/jsvectormap/maps/us-merc-en.js	C:/xampp/htdocs/Shopy/admin_template/themesbrand.com/velzon/html/master/assets/libs/jsvectormap/maps/us-merc-en.221.delayed	(from https://themesbrand.com/velzon/html/master/widgets.html)
11:28:33	58666/58666	---M-Z	200	added ('OK')	application/javascript	etag:%22e52a-60db4fd14123c-gzip%22	https://themesbrand.com/velzon/html/master/assets/libs/card/card.js	C:/xampp/htdocs/Shopy/admin_template/themesbrand.com/velzon/html/master/assets/libs/card/card.js	(from https://themesbrand.com/velzon/html/master/widgets.html)
11:28:34	10997/10997	---M-Z	200	added ('OK')	application/javascript	etag:%222af5-60db4fd122dda-gzip%22	https://themesbrand.com/velzon/html/master/assets/js/pages/widgets.init.js	C:/xampp/htdocs/Shopy/admin_template/themesbrand.com/velzon/html/master/assets/js/pages/widgets.init.js	(from https://themesbrand.com/velzon/html/master/widgets.html)
11:28:35	9059/9059	---M-Z	200	added ('OK')	text/css	etag:%222363-60db4fd1327db-gzip%22	https://themesbrand.com/velzon/html/master/assets/libs/@simonwep/pickr/themes/classic.min.css	C:/xampp/htdocs/Shopy/admin_template/themesbrand.com/velzon/html/master/assets/libs/@simonwep/pickr/themes/classic.min.css	(from https://themesbrand.com/velzon/html/master/forms-pickers.html)
11:28:35	9168/9168	---M-Z	200	added ('OK')	text/css	etag:%2223d0-60db4fd1327db-gzip%22	https://themesbrand.com/velzon/html/master/assets/libs/@simonwep/pickr/themes/monolith.min.css	C:/xampp/htdocs/Shopy/admin_template/themesbrand.com/velzon/html/master/assets/libs/@simonwep/pickr/themes/monolith.min.css	(from https://themesbrand.com/velzon/html/master/forms-pickers.html)
11:28:35	9248/9248	---M-Z	200	added ('OK')	text/css	etag:%222420-60db4fd1327db-gzip%22	https://themesbrand.com/velzon/html/master/assets/libs/@simonwep/pickr/themes/nano.min.css	C:/xampp/htdocs/Shopy/admin_template/themesbrand.com/velzon/html/master/assets/libs/@simonwep/pickr/themes/nano.min.css	(from https://themesbrand.com/velzon/html/master/forms-pickers.html)
11:28:35	23532/23532	---M-Z	200	added ('OK')	application/javascript	etag:%225bec-60db4fd1327db-gzip%22	https://themesbrand.com/velzon/html/master/assets/libs/@simonwep/pickr/pickr.min.js	C:/xampp/htdocs/Shopy/admin_template/themesbrand.com/velzon/html/master/assets/libs/@simonwep/pickr/pickr.min.js	(from https://themesbrand.com/velzon/html/master/forms-pickers.html)
11:28:35	3788/3788	---M-Z	200	added ('OK')	application/javascript	etag:%22ecc-60db4fd120e9a-gzip%22	https://themesbrand.com/velzon/html/master/assets/js/pages/form-pickers.init.js	C:/xampp/htdocs/Shopy/admin_template/themesbrand.com/velzon/html/master/assets/js/pages/form-pickers.init.js	(from https://themesbrand.com/velzon/html/master/forms-pickers.html)
11:28:36	1470/1470	---M-Z	200	added ('OK')	application/javascript	etag:%225be-60db4fd120e9a-gzip%22	https://themesbrand.com/velzon/html/master/assets/js/pages/form-masks.init.js	C:/xampp/htdocs/Shopy/admin_template/themesbrand.com/velzon/html/master/assets/js/pages/form-masks.init.js	(from https://themesbrand.com/velzon/html/master/forms-masks.html)
11:28:36	1290/1290	---M-Z	200	added ('OK')	text/css	etag:%2250a-60db4fd1b9424-gzip%22	https://themesbrand.com/velzon/html/master/assets/libs/multi.js/multi.min.css	C:/xampp/htdocs/Shopy/admin_template/themesbrand.com/velzon/html/master/assets/libs/multi.js/multi.min.css	(from https://themesbrand.com/velzon/html/master/forms-advanced.html)
11:28:37	3093/3093	---M-Z	200	added ('OK')	text/css	etag:%22c15-60db4fd1327db-gzip%22	https://themesbrand.com/velzon/html/master/assets/libs/@tarekraafat/autocomplete.js/css/autoComplete.css	C:/xampp/htdocs/Shopy/admin_template/themesbrand.com/velzon/html/master/assets/libs/@tarekraafat/autocomplete.js/css/autoComplete.css	(from https://themesbrand.com/velzon/html/master/forms-advanced.html)
11:28:37	3931/3931	---M-Z	200	added ('OK')	application/javascript	etag:%22f5b-60db4fd1b9424-gzip%22	https://themesbrand.com/velzon/html/master/assets/libs/multi.js/multi.min.js	C:/xampp/htdocs/Shopy/admin_template/themesbrand.com/velzon/html/master/assets/libs/multi.js/multi.min.js	(from https://themesbrand.com/velzon/html/master/forms-advanced.html)
11:28:37	9088/9088	---M-Z	200	added ('OK')	application/javascript	etag:%222380-60db4fd1327db-gzip%22	https://themesbrand.com/velzon/html/master/assets/libs/@tarekraafat/autocomplete.js/autoComplete.min.js	C:/xampp/htdocs/Shopy/admin_template/themesbrand.com/velzon/html/master/assets/libs/@tarekraafat/autocomplete.js/autoComplete.min.js	(from https://themesbrand.com/velzon/html/master/forms-advanced.html)
